Norrköping scoutkår;Kneippen, i parken nära förskolan Hultet, Norrköping;163.8;58.584;16.156
S:t Petrus scoutkår;Hallonbergsplan 10, Sundbyberg;163.8;59.376;17.969
Botkyrka, Syrianska scoutkår;Tomtebergavägen 8, Norsborg;164.1;59.243;17.832
Nockeby scoutkår;Brålunden 4, Bromma;164.2;59.33;17.93
Norra Botkyrka Sjöscoutkår;Slagsta gårdsväg 6, Norsborg;164.2;59.253;17.845
Nyköpings scoutkår;Helgona Söra, Nyköping;164.2;58.788;16.996
Sundbybergs scoutkår;Hamngatan 17B, Sundbyberg;164.6;59.357;17.965
S:ta Maria Ektorp Scoutkår;Ektorpsgatan 58, Norrköping;164.6;58.579;16.172
Vårberg-Skärholmens Scoutkår;Duvholmsgränd 44, Skärholmen;164.8;59.279;17.887
Danderyd-Täby Equmeniascout;Eneby Torg, Enebyberg;164.8;59.433;18.039
4K Center scoutkår;4K Center, Fågelviksvägen 9H, Norsborg;164.8;59.254;17.859
4K Center scoutkår;Fågelviksvägen 9H, Norsborg;164.8;59.254;17.859
Söderledskyrkan EFS scoutkår;Vilbergsgatan 100, Norrköping;165.0;58.574;16.166
Abrahamsbergskyrkans scoutkår;Bävervägen 45, Bromma;165.1;59.334;17.953
Danderyds sjöscoutkår;Enebybergsvägen 1, Danderyd;165.2;59.413;18.03
Hölö Scoutkår;Wij, Hölö;165.3;59.028;17.547
Salt Scout i Nyköping;Sturevägen 5, Nyköping;165.3;58.771;16.982
Vårby Gårds scoutkår;Bäckgårdsvägen 28, Vårby;165.5;59.267;17.888
Linköping Scoutkår;Muggebo, Vreta Kloster;165.5;58.509;15.5
Aladdin Scoutkår;Rotemannavägen 24, Norsborg;165.5;59.24;17.857
Roslags Näsby scoutkår;Stockholmsvägen 128, Täby;165.5;59.441;18.06
Swedish Mekteb Scoutkår;Ungdomens Hus Andra Hemmet, Korsningen Ekholmsvägen/Skärholmsgången, Skärholmen;165.7;59.276;17.903
Solna scoutkår;Parkvägen 1, Solna;165.8;59.362;17.994
Sjöscoutkåren Drakarna;Valhall, Mosskroken 15, Bromma;165.9;59.329;17.963
Centrumkyrkans Ungdom;Bryggerigatan 5, Säffle;165.9;59.133;12.931
Vreta Kloster scoutkår;Sportvägen, Ljungsbro;165.9;58.505;15.502
Centrumkyrkans Ungdom;Bryggerigatan 5, Säffle;166.0;59.133;12.929
Peter Momma, Scoutkåren;Malmsjövägen 2 Uttran, Uttran;166.1;59.189;17.806
Scoutkåren Gustaf Vasa-Bredäng;Bredängsvägen 234 A, Skärholmen;166.3;59.296;17.937
Bergshamra scoutkår;Järvstigen 18, Solna;166.6;59.381;18.028
Solna Sjöscoutkår;Rådjursstigen 15, Solna;166.7;59.383;18.032
Equmeniascout Tumba;Gröndalsvägen 10, Tumba;166.7;59.198;17.831
Equmenia Mariestad;Trädgårdsgatan 14, Mariestad;166.8;58.707;13.822
Scoutkåren Gripen;Ringvägen 26, Vårsta;167.1;59.167;17.797
Mälarhöjdens scoutkår;Gillegatan 15, Hägersten;167.1;59.295;17.951
Mariestads scoutkår;Alhagen, Mariestad;167.1;58.707;13.812
Viggbyholms sjöscoutkår;Djursholmsvägen 16, Täby;167.3;59.426;18.081
Axevalla;;167.3;59.322;17.985
Hjortensbergskyrkans scoutkår;Runebergsgatan 51, Nyköping;167.7;58.762;17.028
Västertorps scoutkår;Vasaloppsvägen 42, Hägersten;167.9;59.295;17.968
Stocksunds scoutkår;Stockbyvägen 12, Stocksund;168.0;59.384;18.057
Näsby Parks Scoutkår;Scoutgården Parkv 42, Täby;168.2;59.426;18.099
Åmotfors scoutkår;Pappersbruksvägen 2, Åmotfors;168.2;59.764;12.358
Djursholms scoutkår;Väringavägen, vid Ranängen, Djursholm;168.3;59.413;18.09
Örnsbergs Scoutkår;Hövdingagatan 22 (Aspuddens IP), Hägersten;168.5;59.307;17.993
S:t Sigfrids scoutkår;Fregattvägen (mittemot 50-52), Stockholm;168.6;59.312;18.0
Segeltorps scoutkår;Kapellvägen 9, Segeltorp;168.6;59.268;17.953
